Designator,Mid X,Mid Y,Rotation,Layer
C1,139.48,-63.9,180.0,top
C10,123.02,-69.4,0.0,top
C11,116.53,-65.4,180.0,top
C12,129.02,-75.9,180.0,bottom
C13,146.88,-76.9,180.0,bottom
C14,150.18,-73.4,90.0,bottom
C15,137.08,-72.9,180.0,top
C16,137.08,-73.9,180.0,top
C17,141.28,-73.1,0.0,bottom
C18,141.28,-72.1,0.0,bottom
C19,137.1,-67.7,180.0,top
C2,135.48,-66.4,180.0,top
C20,137.08,-68.7,180.0,top
C21,150.98,-70.0,90.0,top
C22,152.0,-68.8,90.0,top
C23,137.08,-69.7,180.0,top
C24,137.08,-70.8,180.0,top
C25,145.98,-70.5,90.0,bottom
C26,144.48,-76.9,0.0,bottom
C27,152.18,-74.0,90.0,top
C28,151.48,-72.4,0.0,top
C29,142.26,-76.9,0.0,bottom
C3,120.48,-89.4,0.0,top
C30,151.08,-74.0,90.0,top
C31,147.48,-63.4,180.0,top
C32,150.98,-68.1,90.0,top
C33,144.33,-63.0,180.0,top
C34,145.48,-65.9,180.0,bottom
C35,143.48,-66.4,180.0,bottom
C36,139.48,-66.4,90.0,bottom
C37,140.88,-66.38,90.0,bottom
C38,143.48,-67.9,180.0,bottom
C39,145.5,-66.9,180.0,bottom
C4,131.48,-80.9,90.0,bottom
C40,146.98,-67.4,90.0,bottom
C41,145.48,-68.2,180.0,bottom
C42,149.98,-80.92,90.0,bottom
C43,140.48,-80.9,90.0,bottom
C44,156.48,-80.9,90.0,top
C45,146.98,-80.9,90.0,top
C46,151.48,-71.4,0.0,top
C47,124.48,-72.88,90.0,top
C48,127.0,-69.4,0.0,top
C49,126.96,-75.4,0.0,top
C5,131.98,-73.9,0.0,top
C52,173.98,-70.4,0.0,top
C6,131.48,-80.4,180.0,top
C7,164.98,-83.0,180.0,top
C8,148.98,-73.4,90.0,bottom
C9,122.48,-76.175,90.0,bottom
CR2,159.98,-67.9,270.0,top
D1,112.98,-66.4625,270.0,top
D3,121.98,-72.9,270.0,top
D4,167.48,-71.95,90.0,top
FB1,145.78,-64.4,0.0,bottom
FB2,138.88,-70.9375,90.0,bottom
FB3,142.08,-64.4,0.0,bottom
FB4,143.58,-62.5,0.0,bottom
FB5,166.88,-65.2,90.0,top
FB6,120.28,-81.6,0.0,top
FB7,154.38,-65.2,90.0,top
IC1,144.08,-72.0,0.0,top
J1,180.475,-84.4,90.0,top
J2,124.985,-90.9,270.0,top
J3,111.53,-75.15,270.0,top
J4,180.21,-74.58,180.0,top
J5,172.53,-64.3875,180.0,top
J6,160.11,-64.3875,180.0,top
J7,145.7,-85.38,0.0,top
L1,135.48,-77.4,270.0,top
PS1,170.78,-69.45,180.0,top
R1,176.48,-82.9,180.0,top
R10,164.98,-80.7,270.0,top
R11,164.98,-77.15,90.0,top
R12,139.97,-68.1,0.0,bottom
R13,149.98,-70.1125,270.0,bottom
R14,121.98,-75.4,180.0,top
R15,121.98,-76.9,180.0,top
R16,167.47,-68.4,180.0,top
R17,173.99,-68.4,0.0,top
R18,173.98,-67.4,0.0,top
R19,162.98,-67.9,0.0,top
R2,141.97,-74.4,0.0,bottom
R3,116.655,-67.4,0.0,top
R4,142.78,-71.19,90.0,bottom
R5,124.48,-76.3125,270.0,bottom
R6,124.48,-73.4,180.0,bottom
R7,126.48,-87.9,0.0,bottom
R8,133.98,-80.9,270.0,bottom
R9,120.98,-87.9,0.0,top
SW1,115.7458,-87.549999,270.0,top
U1,123.48,-63.4,0.0,top
U11,153.3425,-67.4,180.0,bottom
U2,131.98,-77.4,0.0,top
U3,126.48,-82.4,270.0,bottom
U4,169.98,-80.4,180.0,top
U5,153.0322,-80.4,90.0,bottom
U6,143.479999,-80.3438,90.0,bottom
U7,153.48,-80.4,90.0,top
U8,143.98,-80.4,90.0,top
U9,127.48,-72.4602,90.0,top
Y1,135.98,-63.9,0.0,top
